5
5
0 0 7,8395062685E-001
0 1 6,5020579100E-001
0 2 6,0185188055E-001
0 3 1,0051440001E+000
0 4 4,8662552238E-001
1 0 8,8477367163E-001
1 1 5,7201647758E-001
1 2 7,6646089554E-001
1 3 2,5308641791E-001
1 4 6,6666668653E-001
2 0 9,2901235819E-001
2 1 1,0236625671E+000
2 2 3,8374486566E-001
2 3 1,1831275374E-001
2 4 1,0051440001E+000
3 0 4,5679011941E-001
3 1 5,4218107462E-001
3 2 6,1213994026E-001
3 3 5,6481480598E-001
3 4 1,1316872202E-002
4 0 7,5411522388E-001
4 1 8,2304524258E-003
4 2 4,2386829853E-001
4 3 9,4032919407E-001
4 4 3,4979423881E-001
